district,rooms,max_floors,rub_by_district
р-н Центральный,3,8,59889.71506509177
р-н Центральный,3,9,55652.398306848176
р-н Центральный,3,10,54617.47389605489
р-н Центральный,3,11,66361.53390942886
р-н Центральный,3,12,60333.81818501467
р-н Центральный,3,13,79371.94356798317
р-н Центральный,3,14,68059.40822931114
р-н Центральный,3,15,65158.4060050485
р-н Центральный,3,16,59361.67339475291
р-н Центральный,3,17,70551.64857742177
р-н Центральный,3,18,74976.36295994236
р-н Центральный,3,19,72263.60518292683
р-н Центральный,3,20,70477.23704866561
р-н Центральный,3,22,69501.92805938495
р-н Центральный,3,23,69154.63569875695
р-н Центральный,3,24,70366.91632067354
р-н Центральный,3,25,70489.7600380199
р-н Центральный,3,26,83491.46110056926
р-н Центральный,3,27,82529.6562627499
р-н Центральный,3,28,82500.0
р-н Центральный,4,3,55414.6048882891
р-н Центральный,4,4,54577.621943535
р-н Центральный,4,5,54879.68962084161
р-н Центральный,4,6,63409.772101056114
р-н Центральный,4,9,49494.343023620066
р-н Центральный,4,10,59524.04422622164
р-н Центральный,4,12,59888.57938718662
р-н Центральный,4,13,50000.0
р-н Центральный,4,14,58274.271844660194
р-н Центральный,4,15,58274.18831168831
р-н Центральный,4,16,47285.25419762278
р-н Центральный,4,17,70703.74587142518
р-н Центральный,4,26,82307.69230769231
р-н Центральный,5,10,68626.68820798218
р-н Центральный,Своб.планировка,5,68750.00000000001
р-н Центральный,Своб.планировка,9,81061.94690265486
р-н Центральный,Своб.планировка,16,86792.45283018867
р-н Центральный,Своб.планировка,19,63281.25
р-н Центральный,Студия,5,66525.13816828333
р-н Центральный,Студия,6,60421.05263157895
р-н Центральный,Студия,8,73260.86956521739
р-н Центральный,Студия,9,63910.04781052661
р-н Центральный,Студия,10,62500.0
р-н Центральный,Студия,11,44605.8091286307
р-н Центральный,Студия,13,60500.0
р-н Центральный,Студия,16,71375.8047562738
р-н Центральный,Студия,18,71737.41535971618
р-н Центральный,Студия,19,67767.31135556541
р-н Центральный,Студия,21,76119.40298507463
р-н Центральный,Студия,24,70000.0
р-н Центральный,Студия,25,71321.09557109557
