iter	Passed	Remaining
1076	6758	24617
1077	6764	24611
1078	6769	24598
1079	6774	24588
1080	6780	24582
1081	6786	24574
1082	6792	24568
1083	6799	24561
1084	6811	24576
1085	6824	24594
1086	6840	24625
1087	6857	24655
1088	6871	24679
1089	6880	24682
1090	6887	24677
1091	6894	24673
1092	6901	24671
1093	6908	24665
1094	6916	24664
1095	6923	24660
1096	6930	24657
1097	6937	24654
1098	6942	24644
1099	6948	24635
1100	6955	24632
1101	6963	24629
1102	6969	24623
1103	6977	24622
1104	6985	24621
1105	6991	24614
1106	6997	24609
1107	7004	24603
1108	7010	24595
1109	7016	24590
1110	7023	24585
1111	7032	24589
1112	7040	24587
1113	7048	24587
1114	7055	24583
1115	7062	24577
1116	7069	24575
1117	7075	24569
1118	7083	24565
1119	7090	24563
1120	7097	24557
1121	7115	24593
1122	7124	24597
1123	7133	24598
1124	7140	24594
1125	7147	24591
1126	7154	24586
1127	7161	24582
1128	7166	24572
1129	7173	24566
1130	7179	24560
1131	7187	24557
1132	7193	24552
1133	7199	24544
1134	7206	24540
1135	7212	24533
1136	7220	24531
1137	7225	24519
1138	7231	24515
1139	7236	24504
1140	7245	24505
1141	7251	24496
1142	7256	24488
1143	7262	24480
1144	7271	24480
1145	7276	24470
1146	7282	24461
1147	7289	24457
1148	7296	24456
1149	7304	24453
1150	7311	24449
1151	7318	24445
1152	7325	24441
1153	7332	24436
1154	7339	24433
1155	7347	24432
1156	7353	24425
1157	7361	24423
1158	7368	24418
1159	7374	24413
1160	7381	24408
1161	7388	24403
1162	7394	24397
1163	7401	24392
1164	7408	24386
1165	7414	24381
1166	7421	24375
1167	7429	24374
1168	7435	24368
1169	7442	24364
1170	7452	24367
1171	7462	24374
1172	7469	24370
1173	7476	24364
1174	7482	24357
1175	7489	24353
1176	7494	24344
1177	7502	24341
1178	7509	24337
1179	7515	24330
1180	7522	24326
1181	7531	24326
1182	7537	24321
1183	7543	24311
1184	7550	24306
1185	7556	24301
1186	7564	24299
